target,n_resolved,n_positive,n_negative,n_censored,success_rate_%,ci_low_%,ci_high_%,vs_overall_pp,reliable
 ACVR1B,1,1,0,0,100.0,,,26.9,⚠ n=1
NET,1,1,0,0,100.0,,,26.9,⚠ n=1
L-type calcium channel,1,1,0,0,100.0,,,26.9,⚠ n=1
LOXL2,1,1,0,0,100.0,,,26.9,⚠ n=1
Lewis-Y antigen,1,1,0,0,100.0,,,26.9,⚠ n=1
Lipid,1,1,0,0,100.0,,,26.9,⚠ n=1
MAGEC1,1,1,0,0,100.0,,,26.9,⚠ n=1
MAGEC2,1,1,0,0,100.0,,,26.9,⚠ n=1
MAPK11,1,1,0,3,100.0,,,26.9,⚠ n=1
MDM2,1,1,0,0,100.0,,,26.9,⚠ n=1
MSTN,1,1,0,0,100.0,,,26.9,⚠ n=1
Melatonin receptor,1,1,0,0,100.0,,,26.9,⚠ n=1
NF-κB,1,1,0,0,100.0,,,26.9,⚠ n=1
EDB-FN,1,1,0,0,100.0,,,26.9,⚠ n=1
NLRP3,1,1,0,0,100.0,,,26.9,⚠ n=1
NMDA receptor,2,2,0,0,100.0,,,26.9,⚠ n=2
Nrf2,1,1,0,0,100.0,,,26.9,⚠ n=1
OX40,1,1,0,0,100.0,,,26.9,⚠ n=1
Opioid receptors,5,5,0,1,100.0,,,26.9,⚠ n=5
PAI-1,1,1,0,0,100.0,,,26.9,⚠ n=1
PARP3,2,2,0,3,100.0,,,26.9,⚠ n=2
PDE,1,1,0,0,100.0,,,26.9,⚠ n=1
PDE5A,1,1,0,0,100.0,,,26.9,⚠ n=1
PDK1,1,1,0,0,100.0,,,26.9,⚠ n=1
JAK2,5,5,0,2,100.0,,,26.9,⚠ n=5
JAK1,4,4,0,2,100.0,,,26.9,⚠ n=4
IMPDH,3,3,0,1,100.0,,,26.9,⚠ n=3
IL2RA,1,1,0,0,100.0,,,26.9,⚠ n=1
EPO receptor,7,7,0,0,100.0,,,26.9,⚠ n=7
ERβ,1,1,0,0,100.0,,,26.9,⚠ n=1
EZH2,1,1,0,1,100.0,,,26.9,⚠ n=1
FAP,1,1,0,0,100.0,,,26.9,⚠ n=1
FGFR4,3,3,0,10,100.0,,,26.9,⚠ n=3
FGFRs,2,2,0,0,100.0,,,26.9,⚠ n=2
FRK,1,1,0,3,100.0,,,26.9,⚠ n=1
FasR,2,2,0,0,100.0,,,26.9,⚠ n=2
GCGR,1,1,0,1,100.0,,,26.9,⚠ n=1
GDF11,1,1,0,0,100.0,,,26.9,⚠ n=1
GLP-1R,1,1,0,1,100.0,,,26.9,⚠ n=1
GRB2,1,1,0,0,100.0,,,26.9,⚠ n=1
HER3,1,1,0,0,100.0,,,26.9,⚠ n=1
HER4,4,4,0,2,100.0,,,26.9,⚠ n=4
HGF,1,1,0,0,100.0,,,26.9,⚠ n=1
HIV-1 RT,1,1,0,0,100.0,,,26.9,⚠ n=1
HPSE,1,1,0,0,100.0,,,26.9,⚠ n=1
HPV E6,1,1,0,0,100.0,,,26.9,⚠ n=1
IFNAR,2,2,0,2,100.0,,,26.9,⚠ n=2
IL-15,1,1,0,0,100.0,,,26.9,⚠ n=1
IL-9,1,1,0,0,100.0,,,26.9,⚠ n=1
PGF,1,1,0,0,100.0,,,26.9,⚠ n=1
PI3K family,1,1,0,1,100.0,,,26.9,⚠ n=1
PIGF,1,1,0,0,100.0,,,26.9,⚠ n=1
TIM3,1,1,0,0,100.0,,,26.9,⚠ n=1
TLR7,3,3,0,0,100.0,,,26.9,⚠ n=3
TLR8,2,2,0,0,100.0,,,26.9,⚠ n=2
TLR9,2,2,0,0,100.0,,,26.9,⚠ n=2
TNFR1,1,1,0,0,100.0,,,26.9,⚠ n=1
TRKA,1,1,0,4,100.0,,,26.9,⚠ n=1
TWEAKR,1,1,0,0,100.0,,,26.9,⚠ n=1
TYMP,2,2,0,2,100.0,,,26.9,⚠ n=2
Tie-2,2,2,0,3,100.0,,,26.9,⚠ n=2
Topoisomerase IV,1,1,0,1,100.0,,,26.9,⚠ n=1
Triglyceride,1,1,0,0,100.0,,,26.9,⚠ n=1
Trypsin,1,1,0,0,100.0,,,26.9,⚠ n=1
WEE1,1,1,0,0,100.0,,,26.9,⚠ n=1
WT1,1,1,0,0,100.0,,,26.9,⚠ n=1
c-Met,6,6,0,4,100.0,,,26.9,⚠ n=6
factor Xa,1,1,0,0,100.0,,,26.9,⚠ n=1
tPA,1,1,0,0,100.0,,,26.9,⚠ n=1
thymidine kinase,1,1,0,0,100.0,,,26.9,⚠ n=1
vWF,1,1,0,0,100.0,,,26.9,⚠ n=1
β-adrenoceptors,1,1,0,1,100.0,,,26.9,⚠ n=1
δ opioid receptor,4,4,0,2,100.0,,,26.9,⚠ n=4
κ opioid receptor,4,4,0,2,100.0,,,26.9,⚠ n=4
TLR,1,1,0,0,100.0,,,26.9,⚠ n=1
TGF-B2 mRNA,1,1,0,0,100.0,,,26.9,⚠ n=1
PKC,2,2,0,0,100.0,,,26.9,⚠ n=2
Sickle haemoglobin,1,1,0,0,100.0,,,26.9,⚠ n=1
PNP,1,1,0,0,100.0,,,26.9,⚠ n=1
POLA1,1,1,0,1,100.0,,,26.9,⚠ n=1
PP2A,1,1,0,0,100.0,,,26.9,⚠ n=1
PPARγ,1,1,0,0,100.0,,,26.9,⚠ n=1
PRKAB1,3,3,0,1,100.0,,,26.9,⚠ n=3
Phosphates,1,1,0,0,100.0,,,26.9,⚠ n=1
Phosphatidylserine,2,2,0,0,100.0,,,26.9,⚠ n=2
Protease,1,1,0,0,100.0,,,26.9,⚠ n=1
Proton pump,1,1,0,0,100.0,,,26.9,⚠ n=1
RANKL,1,1,0,1,100.0,,,26.9,⚠ n=1
RBM39,1,1,0,0,100.0,,,26.9,⚠ n=1
Raf kinase,2,2,0,3,100.0,,,26.9,⚠ n=2
SERT,1,1,0,0,100.0,,,26.9,⚠ n=1
SMO,2,2,0,0,100.0,,,26.9,⚠ n=2
SRC,3,3,0,7,100.0,,,26.9,⚠ n=3
SSTR,1,1,0,0,100.0,,,26.9,⚠ n=1
SSTR1,1,1,0,0,100.0,,,26.9,⚠ n=1
SSTR2,2,2,0,0,100.0,,,26.9,⚠ n=2
SSTR3,1,1,0,0,100.0,,,26.9,⚠ n=1
SSTR5,1,1,0,0,100.0,,,26.9,⚠ n=1
STAT3,2,2,0,1,100.0,,,26.9,⚠ n=2
EP4,1,1,0,0,100.0,,,26.9,⚠ n=1
HSP90,1,1,0,0,100.0,,,26.9,⚠ n=1
CYP51A1,1,1,0,0,100.0,,,26.9,⚠ n=1
Aurora A,1,1,0,1,100.0,,,26.9,⚠ n=1
COX-2,3,3,0,0,100.0,,,26.9,⚠ n=3
Ang2,1,1,0,0,100.0,,,26.9,⚠ n=1
Ang1,1,1,0,0,100.0,,,26.9,⚠ n=1
Abl,1,1,0,3,100.0,,,26.9,⚠ n=1
AXL,2,2,0,0,100.0,,,26.9,⚠ n=2
ASN,2,2,0,4,100.0,,,26.9,⚠ n=2
ARG1,1,1,0,0,100.0,,,26.9,⚠ n=1
CaM,1,1,0,0,100.0,,,26.9,⚠ n=1
CaN,8,8,0,2,100.0,,,26.9,⚠ n=8
ALK,1,1,0,3,100.0,,,26.9,⚠ n=1
CaSR,1,1,0,0,100.0,,,26.9,⚠ n=1
ALDH2,1,1,0,0,100.0,,,26.9,⚠ n=1
Cathepsin,1,1,0,0,100.0,,,26.9,⚠ n=1
Chk1,3,3,0,0,100.0,,,26.9,⚠ n=3
Chk2,2,2,0,0,100.0,,,26.9,⚠ n=2
COX-1,1,1,0,0,100.0,,,26.9,⚠ n=1
CLDN18.2,2,2,0,1,100.0,,,26.9,⚠ n=2
AKT2,1,1,0,1,100.0,,,26.9,⚠ n=1
CK2,1,1,0,0,100.0,,,26.9,⚠ n=1
CAIX,1,1,0,0,100.0,,,26.9,⚠ n=1
