indication_group,n_resolved,n_positive,n_negative,n_censored,success_rate_%,ci_low_%,ci_high_%,reliable
Lymphoma,22,22,0,14,100.0,85.1,100.0,✓
Colorectal Cancer,15,14,1,14,93.3,70.2,98.8,✓
Solid Tumors (NOS),36,31,5,27,86.1,71.3,93.9,✓
Leukemia,24,19,5,11,79.2,59.5,90.8,✓
Other,241,185,56,147,76.8,71.0,81.7,✓
Breast Cancer,55,42,13,24,76.4,63.7,85.6,✓
Hematologic Malignancies,23,16,7,12,69.6,49.1,84.4,✓
Ovarian Cancer,28,19,9,15,67.9,49.3,82.1,✓
Head & Neck Cancer,17,11,6,16,64.7,41.3,82.7,✓
Gastric Cancer,11,7,4,11,63.6,35.4,84.8,✓
NSCLC,49,31,18,34,63.3,49.3,75.3,✓
Pancreatic Cancer,36,22,14,18,61.1,44.9,75.2,✓
Prostate Cancer,16,9,7,10,56.2,33.2,76.9,✓
AML,20,11,9,11,55.0,34.2,74.2,✓
Multiple Myeloma,27,14,13,16,51.9,34.0,69.3,✓
