tech_group,n_resolved,n_positive,n_negative,n_censored,success_rate_%,ci_low_%,ci_high_%,reliable
Toxin Fusion Protein (Immunotoxin),1,1,0,0,100.0,,,⚠ n=1
Cytokine Fusion Protein (Immunocytokine),1,1,0,0,100.0,,,⚠ n=1
Radiopharmaceutical Therapy,1,1,0,0,100.0,,,⚠ n=1
Oligonucleotide Therapy,1,1,0,0,100.0,,,⚠ n=1
Antibody Fragment Drug Conjugate,1,1,0,0,100.0,,,⚠ n=1
Live biotherapeutics,3,3,0,0,100.0,,,⚠ n=3
Gene Transfer Therapy,1,1,0,0,100.0,,,⚠ n=1
DNA Oligonucleotide Therapy,2,2,0,0,100.0,,,⚠ n=2
Synthetic Peptide,3,3,0,0,100.0,,,⚠ n=3
Cell Therapy,1,1,0,0,100.0,,,⚠ n=1
Antisense Oligonucleotide (ASO),1,1,0,0,100.0,,,⚠ n=1
Protein Therapy,24,21,3,10,87.5,69.0,95.7,✓
Radiopharmaceutical,8,6,2,5,75.0,,,⚠ n=8
Small Molecule,390,289,101,196,74.1,69.5,78.2,✓
Other,74,54,20,50,73.0,61.9,81.8,✓
Monoclonal Antibody,77,56,21,79,72.7,61.9,81.4,✓
CAR-T,3,2,1,10,66.7,,,⚠ n=3
Bispecific Antibody,5,3,2,10,60.0,,,⚠ n=5
Vaccine,2,1,1,3,50.0,,,⚠ n=2
DNA vaccine,2,1,1,0,50.0,,,⚠ n=2
Imaging Agent,6,3,3,0,50.0,,,⚠ n=6
ADC,4,1,3,13,25.0,,,⚠ n=4
Tetraspecific Antibody,1,0,1,0,0.0,,,⚠ n=1
Vaccine Adjuvant,1,0,1,0,0.0,,,⚠ n=1
Mesenchymal Stem Cell Therapy (MSCs),1,0,1,0,0.0,,,⚠ n=1
Small Interfering RNA (siRNA),1,0,1,0,0.0,,,⚠ n=1
Oncolytic Bacteria,1,0,1,0,0.0,,,⚠ n=1
Hormone,1,0,1,0,0.0,,,⚠ n=1
Chimeric Antigen Receptor Gamma Delta (γδ) T-Cell Therapy (CAR-γδT),1,0,1,0,0.0,,,⚠ n=1
Antibody Radiopharmaceutical,1,0,1,0,0.0,,,⚠ n=1
mRNA,1,0,1,0,0.0,,,⚠ n=1
