nct_id,drug_name,is_combination,n_drugs_in_trial
NCT06669572,Pembrolizumab,True,2
NCT06669572,Lenvatinib,True,2
NCT06883552,Tislelizumab,False,1
NCT06366490,Innocell,False,1
NCT06835387,Irinotecan Sucrosofate,True,6
NCT06835387,Dexamethasone,True,6
NCT06835387,5-HT3 Receptor Antagonist,True,6
NCT06835387,Oxaliplatin,True,6
NCT06835387,Fluorouracil,True,6
NCT06835387,Folinic acid,True,6
NCT06896188,Retifanlimab,True,6
NCT06896188,Oxaliplatin,True,6
NCT06896188,Folinic acid,True,6
NCT06896188,Irinotecan,True,6
NCT06896188,Fluorouracil,True,6
NCT06896188,Elraglusib,True,6
NCT06822972,Selinexor,False,1
NCT06906562,Pemigatinib,True,3
NCT06906562,Computed Tomography Colonography,True,3
NCT06906562,Magnetic Resonance Imaging,True,3
NCT06328036,Atezolizumab,True,5
NCT06328036,Biospecimen Collection,True,5
NCT06328036,Magnetic Resonance Imaging,True,5
NCT06328036,Surgical Procedure,True,5
NCT06328036,Tiragolumab,True,5
NCT06066138,Atezolizumab,False,1
NCT06908031,Radiation Therapy,True,6
NCT06908031,Iparomlimab,True,6
NCT06908031,mFOLFOX6,True,6
NCT06908031,Cetuximab,True,6
NCT06908031,Bevacizumab,True,6
NCT06908031,Resection,True,6
NCT06912152,Fludarabine,True,3
NCT06912152,Cyclophosphamide,True,3
NCT06912152,MT-027,True,3
NCT05903833,Pembrolizumab,True,2
NCT05903833,Lenvatinib,True,2
NCT06364267,Tamoxifen,True,2
NCT06364267,Exemestane,True,2
NCT06508931,Zamtocabtagene autoleucel,False,1
NCT06517017,Isatuximab,True,3
NCT06517017,Dexamethasone,True,3
NCT06517017,Lenalidomide,True,3
NCT06887803,Roginolisib,True,2
NCT06887803,Ruxolitinib,True,2
NCT06882746,BI 765049,False,1
NCT06682637,Melphalan flufenamide,True,2
NCT06682637,Dexamethasone,True,2
NCT06914128,PH020,False,1
NCT06728072,Metronidazole,True,3
NCT06728072,Ciprofloxacin,True,3
NCT06728072,Aspirin,True,3
NCT06834672,IBI 354,True,4
NCT06834672,Paclitaxel,True,4
NCT06834672,Gemcitabine,True,4
