nct_id,indication_raw,indication_group
NCT06669572,Anorectal Cancer,Colorectal Cancer
NCT06669572,Epithelial Neoplasm,Ovarian Cancer
NCT06883552,Thoracic Neoplasm,NSCLC
NCT06366490,Ovarian Cancer,Ovarian Cancer
NCT06835387,Small Intestinal Adenocarcinoma,Colorectal Cancer
NCT06896188,Pancreatic Cancer,Pancreatic Cancer
NCT06822972,Multiple Myeloma,Multiple Myeloma
NCT06822972,Multiple Myeloma,Multiple Myeloma
NCT06906562,Pancreatic Cancer,Pancreatic Cancer
NCT06906562,FGFR Mutation,Other
NCT06906562,Renal Cell Carcinoma,Other
NCT06906562,FGFR2 Gene Translocation,Other
NCT06906562,Pancreatic Cancer,Pancreatic Cancer
NCT06906562,Epithelial Neoplasm,Ovarian Cancer
NCT06328036,Glioblastoma,Other
NCT06066138,Soft Tissue Sarcoma,Other
NCT06066138,Soft Tissue Sarcoma,Other
NCT06066138,Non-Small Cell Lung Cancer,NSCLC
NCT06066138,Epithelial Neoplasm,Ovarian Cancer
NCT06066138,Neuroendocrine Carcinoma,Other
NCT06066138,Epithelial Neoplasm,Ovarian Cancer
NCT06066138,Hepatocellular Carcinoma,Other
NCT06066138,Hepatocellular Carcinoma,Other
NCT06066138,Skin Melanoma,Other
NCT06066138,Metastatic Melanoma,Other
NCT06908031,Osteosarcoma,Other
NCT06908031,MSS,Other
NCT06908031,Rectal Carcinoma,Other
NCT06912152,Peritoneal Malignant Mesothelioma,Other
NCT05903833,Vulvar Carcinoma,Other
NCT05903833,Vulvar Carcinoma,Other
NCT05903833,Vulvar Carcinoma,Other
NCT05903833,Vulvar Carcinoma,Other
NCT06364267,Breast Cancer,Breast Cancer
NCT06508931,Hematology,Hematologic Malignancies
NCT06517017,Multiple Myeloma,Multiple Myeloma
NCT06517017,Plasma Cell Leukemia,Other
NCT06887803,Primary Myelofibrosis,Other
NCT06882746,Colorectal Cancer,Colorectal Cancer
NCT06882746,Gastric Cancer,Gastric Cancer
NCT06882746,Pancreatic Cancer,Pancreatic Cancer
NCT06682637,Multiple Myeloma,Multiple Myeloma
NCT06914128,Solid Tumors,Solid Tumors (NOS)
NCT06728072,Colorectal Cancer,Colorectal Cancer
NCT06728072,Colorectal Cancer,Colorectal Cancer
NCT06417190,Glioma,Other
NCT06417190,Muscle Invasive Bladder Cancer,Other
NCT06834672,Fallopian Tube Cancer,Other
NCT06834672,Ovarian Cancer,Ovarian Cancer
NCT06834672,Primary Peritoneal Cancer,Other
NCT06856200,HER2-Negative Breast Cancer,Other
NCT06856200,Endocrine Neoplasm,Other
NCT06560879,Thoracic Neoplasm,NSCLC
NCT06560879,Probiotics,Other
NCT06560879,Gastrointestinal Diseases,Other
NCT06801730,Glioma,Other
NCT06851247,Nasopharyngeal Cancer,Other
NCT06352866,Multiple Myeloma,Multiple Myeloma
NCT06352866,Cytokine Release Syndrome,Other
NCT06352866,Multiple Myeloma,Multiple Myeloma
NCT06352866,Immune Effector Cell Associated Neurotoxicity Syndrome,Other
NCT06744894,Multiple Myeloma,Multiple Myeloma
NCT06772428,Head and Neck Squamous Cell Carcinoma,Head & Neck Cancer
NCT06772428,Underwent Surgery Within 6 Weeks and Postoperative Assessment Indicated High-risk Factors,Other
NCT06720324,Hematology,Hematologic Malignancies
NCT06735131,Triple-Negative Breast Cancer,Other
NCT06730932,Clear Cell Renal Cell Carcinoma,Other
NCT06667908,Non-Small Cell Lung Cancer,NSCLC
NCT06700395,Multiple Myeloma,Multiple Myeloma
NCT06749886,Thoracic Neoplasm,NSCLC
NCT06171685,Multiple Myeloma,Multiple Myeloma
NCT06171685,Multiple Myeloma,Multiple Myeloma
NCT06682611,Solid Tumors,Solid Tumors (NOS)
NCT06647563,Head and Neck Squamous Cell Carcinoma,Head & Neck Cancer
NCT06673693,Head and Neck Squamous Cell Carcinoma,Head & Neck Cancer
NCT06673693,Head and Neck Squamous Cell Carcinoma,Head & Neck Cancer
NCT06217536,Soft Tissue Sarcoma,Other
NCT06613152,Solid Tumors,Solid Tumors (NOS)
NCT06490536,Colon Carcinoma,Other
NCT06490536,Colon Carcinoma,Other
NCT06253637,T-cell acute lymphoblastic leukemia,Other
NCT06578286,Breast Cancer,Breast Cancer
NCT06519370,Triple-Negative Breast Cancer,Other
NCT06261814,Liver Cancer,Other
NCT06416410,Lung Non-Squamous Non-Small Cell Carcinoma,Other
NCT06416410,Lung Non-Squamous Non-Small Cell Carcinoma,Other
NCT06549595,Follicular Lymphoma,Lymphoma
