nct_id,target
NCT06669572,PD-1
NCT06669572,FGFR1
NCT06669572,FGFR2
NCT06669572,FGFR3
NCT06669572,FGFR4
NCT06669572,PDGFRα
NCT06669572,c-Kit
NCT06669572,RET
NCT06669572,VEGFR1
NCT06669572,VEGFR2
NCT06669572,VEGFR3
NCT06883552,PD-1
NCT06835387,GR
NCT06835387,DNA
NCT06835387,TYMS
NCT06896188,PD-1
NCT06896188,DNA
NCT06896188,TOP1
NCT06896188,TYMS
NCT06896188,GSK-3β
NCT06822972,XPO1
NCT06906562,FGFR1
NCT06906562,FGFR2
NCT06906562,FGFR3
NCT06328036,PDL1
NCT06328036,TIGIT
NCT06066138,PDL1
NCT06908031,PD-1
NCT06908031,EGFR
NCT06908031,VEGF-A
NCT06912152,DNA polymerase III
NCT06912152,RNR
NCT06912152,RNA polymerase II
NCT06912152,DNA
NCT06912152,B7H3
NCT05903833,PD-1
NCT05903833,FGFR1
NCT05903833,FGFR2
NCT05903833,FGFR3
NCT05903833,FGFR4
NCT05903833,PDGFRα
NCT05903833,c-Kit
NCT05903833,RET
NCT05903833,VEGFR1
NCT05903833,VEGFR2
NCT05903833,VEGFR3
NCT06364267,ER
NCT06364267,aromatase
NCT06508931,CD19
NCT06508931,CD20
NCT06517017,CD38
NCT06517017,GR
NCT06517017,IFNγ
NCT06517017,CK1α
NCT06517017,CRBN
NCT06517017,IKZF1
NCT06517017,IL-2
NCT06517017,IL-6
NCT06517017,TNF-α
NCT06517017,IKZF3
NCT06887803,PI3Kδ
NCT06887803,JAK1
NCT06887803,JAK2
NCT06882746,NCR3LG1
NCT06882746,CD3
NCT06682637,DNA
NCT06682637,GR
NCT06914128,PRMT5
NCT06728072,Bacterial DNA gyrase
NCT06728072,COX
NCT06834672,TOP1
NCT06834672,HER2
NCT06834672,TUBB1
NCT06834672,DNA
NCT06834672,RNR
NCT06834672,TOP2
NCT06856200,mTOR
NCT06856200,CDK4
NCT06856200,CDK6
NCT06856200,ER
NCT06801730,VEGF-A
NCT06851247,PD-1
NCT06851247,c-Kit
NCT06851247,VEGFR1
NCT06851247,VEGFR2
NCT06851247,VEGFR3
NCT06851247,DNA
NCT06851247,RNR
NCT06352866,IL-6
NCT06352866,BCMA
NCT06352866,CD3
NCT06744894,XPO1
NCT06744894,Proteasome
NCT06744894,IFNγ
NCT06744894,CK1α
NCT06744894,CRBN
NCT06744894,IKZF1
NCT06744894,IL-2
NCT06744894,IL-6
NCT06744894,TNF-α
NCT06744894,IKZF3
NCT06720324,DNA polymerase III
NCT06720324,RNR
NCT06720324,RNA polymerase II
NCT06720324,DNA
NCT06735131,PD-1
NCT06735131,TUBB1
NCT06735131,DNA
NCT06735131,RNR
NCT06730932,BTLA
NCT06730932,PD-1
NCT06667908,PDL1
NCT06667908,DNA
NCT06667908,TUBB1
NCT06700395,GPRC5D
NCT06700395,CD3
NCT06749886,RANKL
NCT06749886,PD-1
NCT06749886,TUBB1
NCT06171685,BCMA
NCT06171685,CD3
NCT06682611,CSF-1R
NCT06682611,VEGFR
NCT06682611,PD-1
NCT06682611,Tubulin
NCT06682611,DNA
NCT06682611,TUBB1
NCT06682611,TOP2
NCT06682611,mTORC1
NCT06682611,mTORC2
NCT06682611,Abl
NCT06682611,BRAF V600E
NCT06682611,EphA2
NCT06682611,FGFR1
NCT06682611,FGFR2
NCT06682611,TRKA
NCT06682611,PDGFRα
NCT06682611,PDGFRβ
NCT06682611,Raf kinase
NCT06682611,BRAF
NCT06682611,c-Kit
NCT06682611,Tie-2
NCT06682611,RET
NCT06682611,VEGFR1
NCT06682611,VEGFR2
NCT06682611,VEGFR3
NCT06682611,DDR2
NCT06682611,FRK
NCT06682611,MAPK11
NCT06647563,PD-1
NCT06647563,EGFR
NCT06647563,TUBB1
NCT06647563,DNA
NCT06673693,PD-1
NCT06217536,DNA
NCT06490536,DNA
NCT06490536,TYMS
NCT06490536,TOP1
NCT06490536,PD-1
NCT06490536,CTLA4
NCT06490536,HER2
NCT06490536,EGFR
NCT06253637,CD38
NCT06578286,Beta-tubulin 
NCT06578286,HER2
NCT06519370,TOP1
NCT06519370,TROP2
NCT06519370,TUBB1
NCT06519370,TYMS
NCT06519370,DNA
NCT06519370,RNR
NCT06416410,KRAS G12C
NCT06416410,PD-1
NCT06416410,SHP2
NCT06416410,DHFR
NCT06416410,GART
NCT06416410,TYMS
NCT06416410,DNA
NCT06549595,CD19
NCT06549595,CD3
NCT06549595,CD20
NCT06549595,DNA
NCT06549595,TOP2
NCT06549595,TUBB1
NCT06549595,GR
NCT06509568,DNA
NCT06509568,PD-1
NCT06080165,mTOR
NCT06525948,CaN
NCT06444412,PSMA
NCT06562920,PDL1
NCT05901194,FGFR1
NCT05901194,FGFR2
NCT05901194,FGFR3
NCT05901194,FGFR4
NCT05901194,PDGFRα
NCT05901194,c-Kit
NCT05901194,RET
NCT05901194,VEGFR1
NCT05901194,VEGFR2
NCT05901194,VEGFR3
NCT06734182,PDL1
NCT06734182,Beta-tubulin 
NCT06734182,HER2
NCT06734182,DNA
NCT06422156,EGFR
NCT06422156,DNA
NCT06422156,RNR
NCT06422156,TYMS
NCT06881537,TYMS
NCT06881537,DNA
NCT06881537,VEGF-A
NCT06881537,PD-1
NCT06408194,CD19
NCT06300320,ROCK1
NCT06300320,ROCK2
NCT06300320,JAK1
NCT06300320,JAK2
NCT06255379,VEGFR1
NCT06255379,VEGFR2
NCT06255379,VEGFR3
NCT06255379,TYMS
NCT06358638,CD38
NCT06358638,CD52
NCT06358638,mTOR
NCT06494514,C5
NCT06494514,DNA
NCT06494514,TYMS
NCT06494514,RNR
NCT06297226,GPRC5D
NCT06432296,EpCAM
NCT06432296,CD3
NCT06099366,TUBB1
NCT06099366,ASN
NCT06099366,GR
NCT06099366,HPRT1
NCT06099366,DNA
NCT06099366,DNA-directed DNA polymerase
NCT06099366,DHFR
NCT06099366,TOP2
NCT05679921,PD-1
NCT05679921,PDGFRα
NCT05679921,PDGFRβ
NCT05679921,c-Kit
NCT05679921,VEGFR1
NCT05679921,VEGFR2
NCT05679921,VEGFR3
NCT06329999,TOP2
NCT06329999,DNA-directed DNA polymerase
NCT06329999,CSF-3R
NCT06329999,TUBB1
NCT06208462,PDL1
NCT06208462,FGFR1
NCT06208462,FGFR2
NCT06208462,FGFR3
NCT06208462,FGFR4
NCT06208462,PDGFRα
NCT06208462,c-Kit
NCT06208462,RET
NCT06208462,VEGFR1
NCT06208462,VEGFR2
NCT06208462,VEGFR3
NCT06208462,DNA
NCT06208462,RNR
NCT05967182,PD-1
NCT05967182,DNA
NCT05967182,RNR
NCT06077760,PD-1
NCT06017323,DNA
NCT06017323,RNR
NCT06017323,TUBB1
NCT06017323,CCK receptor
NCT06109207,PD-1
NCT06109207,CDK4
NCT06109207,CDK6
NCT06081595,PARP
NCT06081595,SRC
NCT06081595,c-Kit
NCT06081595,VEGFR2
NCT06109064,Bcl-2
NCT06109064,DNMT1
NCT06109064,DNMT3A
NCT06109064,DNMT3B
NCT06008119,MEK1
NCT06008119,MEK2
NCT06008119,BRAF V600E
NCT06008119,VEGF-A
NCT06008119,EGFR
NCT06321887,Fe
NCT05863195,VEGF-A
NCT05863195,EGFR
NCT05863195,TYMS
NCT05863195,UL30
NCT05863195,TOP1
NCT05863195,DNA
NCT05318469,GluCls
NCT05318469,PD-1
NCT05888844,PDL1
NCT06092957,DNA
NCT06092957,PD-1
NCT06092957,PDL1
NCT06045689,TGF-β
NCT06015568,c-Met
NCT06015568,EGFR
NCT06020833,HIF-PHs
NCT06020833,RARs
NCT06809426,PSMA
NCT03529448,CB
NCT03529448,DNA
NCT05907304,CRAF
NCT05907304,BRAF
NCT05907304,MEK1
NCT05907304,MEK2
NCT05453396,CD19
NCT05453396,DNA
NCT05553041,KLK3
NCT06041425,Opioid receptors
NCT05770531,TOP1
NCT05770531,TROP2
NCT05954312,KEAP1
NCT05777278,c-Met
NCT05777278,TUBB1
NCT05850234,BCMA
NCT05850234,CD19
NCT05961696,CD20
NCT05961696,CD3
NCT05751265,PD-1
NCT05751265,TYMS
NCT05751265,TUBB1
NCT05443425,FABP6
NCT05443425,DHODH
NCT05812807,PD-1
NCT05926960,BRAF
NCT05926960,MEK1
NCT05926960,MEK2
NCT05926960,PD-1
NCT05926960,CTLA4
NCT05894837,PD-1
NCT05894837,Abl
NCT05894837,BRAF V600E
NCT05894837,CSF-1R
NCT05894837,EphA2
NCT05894837,FGFR1
NCT05894837,FGFR2
NCT05894837,TRKA
NCT05894837,PDGFRα
NCT05894837,PDGFRβ
NCT05894837,Raf kinase
NCT05894837,BRAF
NCT05894837,c-Kit
NCT05894837,Tie-2
NCT05894837,RET
NCT05894837,VEGFR1
NCT05894837,VEGFR2
NCT05894837,VEGFR3
NCT05894837,DDR2
NCT05894837,FRK
NCT05894837,MAPK11
NCT05400902,DNA
NCT05400902,TYMS
NCT05400902,PD-1
NCT05400902,VEGF-A
NCT05885464,CD7
NCT05976997,PI3Kδ
NCT05976997,PI3Kγ
NCT05976997,HDAC
NCT05716516,ER
NCT05848999,MSLN
NCT05843448,IDO1
NCT05843448,PDL1
NCT05843448,PD-1
NCT05701709,TOP1
NCT05701709,NECTIN4
NCT05371054,Bcl-2
NCT05371054,CDK9
NCT05371054,GR
NCT05661591,EZH2
NCT05661591,CYP51A1
NCT05715398,SHP2
NCT05715398,c-Kit
NCT05715398,VEGFR1
NCT05715398,VEGFR2
NCT05715398,VEGFR3
NCT05675813,DNA
NCT05675813,TOP2
NCT05675813,TUBB1
NCT05675813,GR
NCT05675813,DNMT1
NCT05675813,XPO1
NCT05675813,PI3Kδ
NCT05675813,PI3Kγ
NCT05675813,PD-1
NCT05675813,HDAC
NCT05716113,CD7
NCT05722795,BCR-ABL1
NCT05722795,PDGFRβ
NCT05722795,c-Kit
NCT05870995,RNR
NCT05870995,DNA-directed DNA polymerase
NCT05870995,TOP2
NCT05870995,Bcl-2
NCT05870995,DNA polymerase III
NCT05870995,RNA polymerase II
NCT05870995,DNA
NCT05679258,CD38
NCT05608785,PD-1
NCT05608785,HER2
NCT05608785,DNA
NCT05608785,TYMS
NCT05608785,CLDN18.2
NCT05608785,PDL1
NCT05608785,c-Kit
NCT05608785,VEGFR1
NCT05608785,VEGFR2
NCT05608785,VEGFR3
NCT05668767,CSF-1R
NCT05668767,FGFR1
NCT05668767,VEGFR
NCT05668767,PDL1
NCT05668767,TOP2
NCT05668767,DNA
NCT05669807,PD-1
NCT05669807,TUBB1
NCT05669807,TOP1
NCT05990998,SSTR
NCT05990998,FAP
NCT05198843,BCR-ABL1
NCT05198843,EphA2
NCT05198843,FYN
NCT05208762,Beta-tubulin 
NCT05208762,PDL1
NCT05208762,PD-1
NCT05425862,G4
NCT05425862,PARP1
NCT05425862,PARP2
NCT04892277,DNA
NCT04892277,DNA polymerase III
NCT04892277,RNR
NCT04892277,RNA polymerase II
NCT05521412,PSMA
NCT05489731,NTRK
NCT05489731,Aurora A
NCT05285358,DNA
NCT05285358,RNR
NCT05285358,TUBB1
NCT05779514,GP IIb/IIIa
NCT05111574,PD-1
NCT05491512,DNA
NCT05491512,TYMS
NCT05491512,TUBB1
NCT06469138,AXL
NCT05463601,CSF-3R
NCT05463601,CDK4
NCT05463601,CDK6
NCT05463601,aromatase
NCT05463601,ER
NCT05406466,PD-1
NCT05406466,FGFR1
NCT05406466,FGFR2
NCT05406466,FGFR3
NCT05406466,FGFR4
NCT05406466,PDGFRα
NCT05406466,c-Kit
NCT05406466,RET
NCT05406466,VEGFR1
NCT05406466,VEGFR2
NCT05406466,VEGFR3
NCT05465343,EGFR T790M
NCT05480865,SHP2
NCT05480865,KRAS G12C
NCT04978727,survivin
NCT04978727,CSF-2R
NCT05186545,CSF-1R
NCT05186545,FGFR1
NCT05186545,VEGFR
NCT05186545,ER
NCT05186545,HDAC
NCT05381038,DNMT1
NCT05381038,TUBB1
NCT05381038,TOP1
NCT05429398,PI3Kδ
NCT05429398,PD-1
NCT04655391,DNMT1
NCT04655391,DNMT3A
NCT04655391,DNMT3B
NCT04655391,IDH1
NCT04655391,Bcl-2
NCT05600309,LAG3
NCT05600309,PD-1
NCT05600309,Abl
NCT05600309,BRAF V600E
NCT05600309,CSF-1R
NCT05600309,EphA2
NCT05600309,FGFR1
NCT05600309,FGFR2
NCT05600309,TRKA
NCT05600309,PDGFRα
NCT05600309,PDGFRβ
