trial_id,nct_id,brief_title,official_title,phase,phase_clean,phase_int,recruitment_status,status_clean,outcome,outcome_binary,start_date_dt,completion_date_dt,primary_completion_date_dt,start_year,trial_duration_days,duration_bucket,enrollment_n,enrollment_type,n_drugs,therapy_type,is_combination,indication_group,tech_group,flag_no_dates,flag_zero_enroll,flag_no_phase
61690,NCT06669572,Lenvatinib and Pembrolizumab to Treat Patients With Anal or Rectum Cancer That Has Gotten Worse After Initial Treatment,"A Phase II, Multi-center, Single Arm Trial of Lenvatinib Plus Pembrolizumab in Patients With Unresectable Locally Advanced and/or Metastatic Anorectal Squamous Cell Carcinoma (ASCC) After Progression on First Line Chemotherapy.",PHASE2,Phase 2,2.0,NOT_YET_RECRUITING,Not Yet Recruiting,Censored,,2026-01-13,2029-03-26,2029-03-26,2026,1168.0,> 3 Years,35,ESTIMATED,2,Combination,True,Colorectal Cancer,Monoclonal Antibody,False,False,False
63117,NCT06883552,"An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer","An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer",PHASE2,Phase 2,2.0,NOT_YET_RECRUITING,Not Yet Recruiting,Censored,,2025-10-01,2026-10-01,2026-10-01,2025,365.0,< 1 Year,21,ESTIMATED,1,Monotherapy,False,NSCLC,Monoclonal Antibody,False,False,False
56177,NCT06366490,Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy in Recurrent Epithelial Ovarian Cancer,Phase 1 Study to Assess the Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy Administered in Patients with Recurrent Epithelial Ovarian Cancer,PHASE1,Phase 1,1.0,NOT_YET_RECRUITING,Not Yet Recruiting,Censored,,2025-06-30,2026-06-30,2025-12-30,2025,365.0,< 1 Year,8,ESTIMATED,1,Monotherapy,False,Ovarian Cancer,Vaccine,False,False,False
62820,NCT06835387,Study of NALIRIFOX in Advanced Unresectable Small Bowel Tumors,Phase II Study of NALIRIFOX (Nanoliposomal Irinotecan + Oxaliplatin With Fluorouracil and Folinic Acid) in Advanced Unresectable Small Bowel Tumors,PHASE2,Phase 2,2.0,RECRUITING,Recruiting,Censored,,2025-05-31,2028-08-31,2027-08-31,2025,1188.0,> 3 Years,36,ESTIMATED,6,Combination,True,Colorectal Cancer,Small Molecule,False,False,False
63206,NCT06896188,"9-ING-41 Combined with Retifanlimab, Plus Modified FOLFIRINOX for Patients with Advanced Pancreatic Adenocarcinoma (RiLEY)","A Phase Ib Study of 9-ING-41 (elraglusib), a Glycogen Synthase Kinase 3-beta (GSK-3Î²) Inhibitor, Combined with Retifanlimab, a PD-1 Inhibitor, Plus Modified FOLFIRINOX As Frontline Therapy for Patients with Advanced Pancreatic Adenocarcinoma (RiLEY)",PHASE1,Phase 1,1.0,NOT_YET_RECRUITING,Not Yet Recruiting,Censored,,2025-05-31,2028-12-31,2027-05-31,2025,1310.0,> 3 Years,12,ESTIMATED,6,Combination,True,Pancreatic Cancer,Monoclonal Antibody,False,False,False
62724,NCT06822972,HCMT/MM2401: Ph2 Study of Selinexor + Bispecific Antibody for RRMM,A Phase II Safety and Efficacy Study of Selinexor in Combination With Bispecific Antibody in Patients With Relapsed/Refractory Multiple Myeloma,PHASE2,Phase 2,2.0,NOT_YET_RECRUITING,Not Yet Recruiting,Censored,,2025-05-01,2027-12-31,2026-04-30,2025,974.0,2–3 Years,27,ESTIMATED,1,Monotherapy,False,Multiple Myeloma,Small Molecule,False,False,False
63277,NCT06906562,A Phase II Telemedicine Study of Pemigatinib in Adult Patients With Advanced or Metastatic Pancreas Cancer With FGFR Genetic Alterations,A Phase II Telemedicine Study of Pemigatinib in Adult Patients With Advanced or Metastatic Pancreas Cancer With FGFR2 Gene Fusions or Other FGFR Genetic Alterations,PHASE2,Phase 2,2.0,NOT_YET_RECRUITING,Not Yet Recruiting,Censored,,2025-05-01,2026-12-31,2026-12-31,2025,609.0,1–2 Years,40,ESTIMATED,3,Combination,True,Pancreatic Cancer,Small Molecule,False,False,False
55910,NCT06328036,Testing the Combination of Anti-cancer Drugs Tiragolumab and Atezolizumab to Improve Outcomes for Patients With Recurrent Glioblastoma,Phase 2 and Biomarker Trial of Anti-TIGIT and Anti-PDL1 in Patients With Recurrent Glioblastoma,PHASE2,Phase 2,2.0,WITHDRAWN,Withdrawn,Negative,0.0,2025-04-30,2025-07-01,2025-07-01,2025,62.0,< 1 Year,0,ACTUAL,5,Combination,True,Other,Monoclonal Antibody,False,True,False
54225,NCT06066138,A Study of Therapeutic Drug Monitoring-Based Atezolizumab Dosing,A Feasibility Multicenter Phase I Study of Therapeutic Drug Monitoring-Based Atezolizumab Dosing,PHASE1,Phase 1,1.0,RECRUITING,Recruiting,Censored,,2025-04-10,2027-01-31,2026-01-31,2025,661.0,1–2 Years,40,ESTIMATED,1,Monotherapy,False,NSCLC,Monoclonal Antibody,False,False,False
63290,NCT06908031,SCRT + mFOLFOX6 + PD-1 Antibody + Targeted Therapy for HIgh-Risk pMMR/MSS Rectal Cancer,"Short-Course Radiotherapy Combined With mFOLFOX6, PD-1 Antibody and Cetuximab (for RAS/BRAF Wild-Type)/Bevacizumab (for RAS/BRAF Mutant) in High-Risk pMMR/MSS Rectal Adenocarcinoma: a Prospective, Multicenter Phase II Study",PHASE3,Phase 3,3.0,RECRUITING,Recruiting,Censored,,2025-04-02,2027-04-01,2027-04-01,2025,729.0,1–2 Years,49,ESTIMATED,6,Combination,True,Other,Monoclonal Antibody,False,False,False
