start_year,n_resolved,n_positive,n_censored,censored_%,success_rate_%,ci_low_%,ci_high_%
2010,30,24,5,14.3,80.0,62.7,90.5
2011,19,16,6,24.0,84.2,62.4,94.5
2012,31,21,5,13.9,67.7,50.1,81.4
2013,30,20,2,6.2,66.7,48.8,80.8
2014,36,29,7,16.3,80.6,65.0,90.2
2015,40,26,9,18.4,65.0,49.5,77.9
2016,27,21,16,37.2,77.8,59.2,89.4
2017,20,17,13,39.4,85.0,64.0,94.8
2018,25,17,25,50.0,68.0,48.4,82.8
2019,19,12,26,57.8,63.2,41.0,80.9
2020,24,13,24,50.0,54.2,35.1,72.1
2021,18,12,52,74.3,66.7,43.7,83.7
2022,16,7,41,71.9,43.8,23.1,66.8
2023,12,7,49,80.3,58.3,32.0,80.7
